정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,29,1137,20,1137,9,37
(구)국제여객터미널,35052,1457,17,1451,17,6,47
(주)경동세라믹스,89146,598,23,598,23,0,20
(주)경인양행앞,42096,1002,848,1002,848,0,59
(주)경인양행앞,42097,1953,3833,1953,3833,0,186
(주)대한특수금속,39050,1120,67,1120,67,0,38
(주)두남,39135,232,53,232,53,0,9
(주)세모입구(린나이코리아),37585,1225,1862,1225,1862,0,99
(주)세모입구(린나이코리아),40893,411,719,411,719,0,36
(주)스킨이데아,89388,385,506,385,506,0,28
(주)스킨이데아,89389,2619,19,2619,19,0,85
(주)씨피엔텍,39133,474,3358,474,3358,0,123
(주)씨피엔텍,39134,2079,420,2079,420,0,80
(주)창원,39029,3366,2975,3366,2975,0,204
(주)창원,39030,3900,3543,3900,3543,0,240
(주)하나금속,39124,21,54,21,54,0,2
17사단.다임메가타운,40895,2109,4701,2109,4701,0,219
17사단입구,40832,12,516,5,516,7,17
2001아울렛,40154,3495,5274,3494,5274,1,282
2001아울렛,40159,30555,13326,30540,13326,15,1415
2001아울렛,40162,10648,21313,10642,21313,6,1031
2001아울렛부평점,40158,4713,2545,4713,2545,0,234
2차풍림아이원,42584,32,10981,32,10981,0,355
3단지,40736,198,1574,198,1574,0,57
3단지관리사무소,40107,1633,378,1633,378,0,64
41번구종점,42174,1872,5558,1872,5558,0,239
510번차고지,36145,893,355,893,355,0,40
540번종점,39470,3162,86,3135,86,27,104
6공단사거리,37577,270,2590,270,2590,0,92
6공단입구,37442,695,853,695,853,0,49
6공단입구,37443,1075,1667,1075,1667,0,88
8부두,35181,212,1838,212,1838,0,66
8부두,35182,1282,2939,1281,2939,1,136
CJ인천2공장,35591,427,3161,425,3161,2,115
CJ인천2공장,35592,2326,112,2325,112,1,78
E편한세상,42453,3154,2118,3152,2118,2,170
E편한세상,42649,1491,3615,1490,3615,1,164
E편한세상,42726,3652,1715,3644,1715,8,173
GM물류센터,40568,516,1178,516,1178,0,54
GS25편의점,36142,1032,2334,1027,2334,5,108
GS내리주유소,44130,0,7,0,7,0,0
GS내리주유소,44147,0,1,0,1,0,0
GS칼텍스,35168,656,62,655,62,1,23
GS칼텍스,35557,8,2208,8,2208,0,71
GS칼텍스,89220,135,561,135,561,0,22
GS칼텍스,89224,172,1378,172,1378,0,50
GS칼텍스주유소,39814,189,22,189,22,0,6
HD현대인프라코어,36081,650,1662,650,1662,0,74
HD현대인프라코어,36083,2429,921,2429,921,0,108
HD현대인프라코어후문,36077,5,864,5,864,0,28
HD현대인프라코어후문,36078,3869,603,3866,603,3,144
JC회관,37383,4227,4280,4227,4280,0,274
JST기술연구소,89491,1,1753,1,1753,0,56
JST기술연구소,89492,511,38,504,38,7,17
KCC아파트,42391,2117,1369,2115,1369,2,112
KG스틸,42008,2501,4482,2499,4482,2,225
KTX광명역4번출구,58057,2453,19,2453,19,0,79
KT부평지사,40381,10354,6854,10297,6854,57,555
KT부평지사,40384,7492,13000,7487,13000,5,661
KT서인천지사,42932,1696,2671,1696,2671,0,140
KT서인천지사,42933,1736,996,1736,996,0,88
KT송도지점,38568,803,457,803,457,0,40
KT온수분국,43523,646,203,643,203,3,27
KT인천공항지사,35095,235,38,235,38,0,8
KT인천공항지사,35109,6820,3080,6810,3080,10,319
KT인천지사,37415,6311,4591,6302,4591,9,351
KT인천지사,39319,8313,4661,8300,4661,13,418
KT중동지사,55081,835,181,835,181,0,32
KT중동지사,55082,165,1045,165,1045,0,39
LG마그나,89029,5951,2736,5951,2736,0,280
LG마그나,89264,2809,5323,2809,5323,0,262
LG물류센터,39043,343,151,343,151,0,15
LG물류센터,39044,84,515,84,515,0,19
LG전자(주),42297,4690,4351,4690,4351,0,291
LH1단지,35494,9444,4155,9440,4155,4,438
LH1단지,35495,4954,6606,4954,6606,0,372
LH49단지행복주택아파트,35768,760,1461,760,1461,0,71
LH49단지행복주택아파트,35769,1993,890,1993,890,0,93
LH7단지,35451,3602,2114,3602,2114,0,184
LH7단지,35452,2275,3678,2275,3678,0,192
LH미추홀3단지,37222,3077,6372,3041,6372,36,304
LH미추홀3단지,37635,6524,2785,6513,2785,11,300
LH웨스턴블루힐정문,89184,1655,3810,1655,3810,0,176
LH웨스턴블루힐정문,89185,4259,3551,4257,3551,2,251
NKG물류센터,89212,226,40,226,40,0,8
SK.GS주유소,89230,1334,1507,1332,1507,2,91
SK.GS주유소,89231,1762,2014,1762,2014,0,121
SKLPG충전사업소,35636,775,19,769,19,6,25
SKLPG충전사업소,35638,14,715,0,715,14,23
SK뷰아파트,42888,1345,5079,1345,5079,0,207
SK뷰아파트,42889,7009,1091,7009,1091,0,261
SK스카이뷰,37601,329,29773,329,29773,0,971
SK스카이뷰104동,37587,6922,52,6922,52,0,224
SK스카이뷰109동,37607,7557,71,7557,71,0,246
SK인천석유화학,42767,1265,675,1265,675,0,62
SK인천석유화학,42768,376,755,376,755,0,36
SK주유소,42956,486,494,486,494,0,31
SK주유소앞,35287,1511,129,1508,129,3,52
SK주유소앞,35539,70,1358,70,1358,0,46
SK충전소,35085,27,2161,21,2161,6,70
e편한세상 정문,38624,20973,1577,20959,1577,14,727
e편한세상(109동 앞),32062,811,1438,811,1438,0,72
e편한세상(109동앞),38643,1088,509,1088,509,0,51
e편한세상1차(정문),35662,577,976,577,976,0,50
e편한세상1차(정문),35663,1455,540,1455,540,0,64
e편한세상계양,41037,13975,3655,13957,3655,18,568
e편한세상계양,41038,5484,14307,5475,14307,9,638
e편한세상부평그랑힐스정문,40928,4356,615,4356,615,0,160
e편한세상부평그랑힐스정문,40929,481,5945,481,5945,0,207
e편한세상부평그랑힐스후문,40930,4791,389,4791,389,0,167
e편한세상영종센텀베뉴정문,35510,1317,4339,1317,4339,0,182
e편한세상영종오션하임,35674,1733,655,1733,655,0,77
e편한세상영종오션하임,35761,705,1557,705,1557,0,72
e편한세상영종하늘도시,35646,566,551,566,551,0,36
e편한세상영종하늘도시,35647,234,408,234,408,0,20
gym80fitness,37081,2600,902,2587,902,13,112
가경공원,89365,1106,601,1106,601,0,55
가구단지사거리,37455,2837,3560,2837,3560,0,206
가구단지사거리,37456,2875,2091,2871,2091,4,160
가구전시장,42072,349,598,349,598,0,30
가구전시장,42074,843,490,843,490,0,43
가나안마을앞,43904,2,15,1,15,1,0
가나안마을앞,43905,35,0,35,0,0,1
가능포,43969,6,8,5,8,1,0
가능포,43970,4,13,3,13,1,0
가림고등학교,42078,13539,13269,13498,13269,41,864
가야,42807,1127,5,1127,5,0,36
가야,42808,6,1436,6,1436,0,46
가오대입구,80033,130,435,126,435,4,18
가오대입구,80034,101,718,100,718,1,26
가원초등학교,42952,6228,4419,6224,4419,4,343
가원초등학교,89118,2611,5641,2611,5641,0,266
가재우물터,35678,6,14,6,14,0,0
가재우물터,35700,4,10,4,10,0,0
가재울사거리,42039,2403,5499,2401,5499,2,254
가재울사거리,42042,8745,4959,8735,4959,10,442
가재울역,42034,2432,3068,2426,3068,6,177
가재울역,42035,3593,2058,3570,2058,23,182
가정(루원시티)역,89050,6896,54311,6896,54311,0,1974
가정(루원시티)역,89051,74442,9389,74442,9389,0,2704
가정(루원시티)역,89075,75350,88662,75323,88662,27,5290
가정(루원시티)역,89078,82655,71477,82646,71477,9,4972
가정3동성당,42226,353,3218,353,3218,0,115
가정LH3단지정문앞,89041,18765,4325,18746,4325,19,744
가정고등학교,42200,11989,4403,11912,4403,77,528
가정고등학교,42203,3284,7766,3276,7766,8,356
가정교,89502,142,1312,142,1312,0,46
가정교,89503,2210,338,2210,338,0,82
가정교차로,89390,469,915,469,915,0,44
가정교차로,89391,298,2450,298,2450,0,88
가정동성당,89102,3547,3961,3545,3961,2,242
가정동성당,89105,2465,1617,2465,1617,0,131
가정보금자리,89119,1624,680,1624,680,0,74
가정보금자리,89120,155,1512,155,1512,0,53
가정여자중학교,42041,855,7858,830,7858,25,281
가정여중입구,89303,966,843,956,843,10,58
가정중앙시장역,42215,1269,1606,1269,1606,0,92
가정중앙시장역,42219,1177,1624,1177,1624,0,90
가정택지삼거리,89385,319,131,319,131,0,14
가정택지삼거리,89386,200,516,200,516,0,23
가정휴먼시아3단지,89186,870,1492,870,1492,0,76
가정휴먼시아3단지,89187,1324,963,1324,963,0,73
가좌2동행정복지센터,42073,6152,334,6109,334,43,209
가좌2동행정복지센터,42076,122,5146,118,5146,4,169
가좌3동행정복지센터,42075,12419,13244,12388,13244,31,827
가좌4동행정복지센터,42062,4513,6470,4501,6470,12,354
가좌고등학교,42060,13955,11734,13925,11734,30,828
가좌고등학교,42061,5601,7949,5580,7949,21,437
가좌공단,42526,30,9186,29,9186,1,297
가좌공단,42945,7295,220,7293,220,2,242
가좌교회,42055,3253,7539,3252,7539,1,348
가좌교회,42057,3715,3533,3715,3533,0,233
가좌녹지공원,42029,1819,4121,1806,4121,13,191
가좌녹지공원,42030,2155,1608,2149,1608,6,121
가좌농협,42066,8437,6496,8405,6496,32,481
가좌농협,42067,5832,5739,5809,5739,23,373
가좌동차고,42939,2255,277,2209,277,46,81
가좌동차고지,42522,56,1060,39,1060,17,36
가좌두산위브104동앞,42090,4392,3184,4392,3184,0,244
가좌사거리,42043,17,248,14,248,3,8
가좌사거리,42044,552,4878,545,4878,7,175
가좌진주아파트,42100,14185,29346,14160,29346,25,1404
가좌체육공원,42058,7032,1099,7005,1099,27,262
가좌초등학교,42069,3872,4406,3872,4406,0,267
가좌초등학교,42070,4701,2487,4701,2487,0,231
가좌테니스장,37454,2092,1049,2092,1049,0,101
가좌테니스장,37457,765,1164,765,1164,0,62
가좌현대아파트,42130,8029,1957,8025,1957,4,322
가좌현대아파트,42133,687,8759,687,8759,0,304
가좌홈플러스(쌍마아파트),42101,11087,7290,11049,7290,38,592
가좌홈플러스(쌍마아파트),42103,7417,12373,7379,12373,38,638
가좌환경사업소,42631,7124,4215,7122,4215,2,365
가좌환경사업소 북측,89341,185,323,185,323,0,16
가좌환경사업소북측,89342,16,240,16,240,0,8
가천대학교,38270,1288,1084,1288,1084,0,76
가천대학교,38284,7881,3088,7881,3088,0,353
가천대학교(노인복지회관),38269,730,1187,730,1187,0,61
가천의대,43237,0,15,0,15,0,0
가천의대,43897,7,4,6,4,1,0
가톨릭대,43156,0,1,0,1,0,0
가톨릭대,43325,0,63,0,63,0,2
가현오일뱅크,42734,43,13,43,13,0,1
가현중학교,42722,3171,3044,3166,3044,5,200
가현초교앞(루에블리아파트),89242,2245,3498,2245,3498,0,185
가현초교앞(센트럴타운아파트),89243,5048,1619,5048,1619,0,215
각곡,43602,2,123,2,123,0,4
각곡,43772,164,13,162,13,2,5
간석4거리,39538,207,263,205,263,2,15
간석4동새마을금고,39343,3294,6032,3287,6032,7,300
간석4동새마을금고,39346,3053,2671,3050,2671,3,184
간석4동행정복지센터,39403,3812,7423,3812,7423,0,362
간석4동행정복지센터,39412,4789,2656,4789,2656,0,240
간석금호어울림아파트,39334,25617,13516,25593,13516,24,1262
간석남부역,37429,4611,886,4611,886,0,177
간석남부역,37435,6911,2484,6880,2484,31,303
간석남부역,37529,1780,3631,1780,3631,0,174
간석동용광경로당,39394,866,573,844,573,22,46
간석래미안.자이,39333,16576,17642,16539,17642,37,1103
간석북부역,39806,4497,85,4497,85,0,147
간석북부역,39807,50,2972,50,2972,0,97
간석북부역·우성1차,39368,13060,4999,13060,4999,0,582
간석북부역·우성1차,39370,5596,10050,5596,10050,0,504
간석사거리,39413,13168,9506,13156,9506,12,731
간석사거리,39414,4964,9612,4961,9612,3,470
간석사거리,39430,2587,2505,2582,2505,5,164
간석사거리(상인천중학교),39422,12481,28163,12401,28163,80,1311
간석사거리(상인천중학교),39426,31845,19216,31782,19216,63,1647
간석시장,39434,12771,30066,12667,30066,104,1381
간석시장,39436,55632,31203,55521,31203,111,2801
간석시장,39437,15322,22309,15322,22309,0,1213
간석오거리,39460,16346,14049,16334,14049,12,980
간석오거리,39597,4278,3387,4277,3387,1,247
간석오거리(교원공제조합),39444,35918,29317,35887,29317,31,2104
간석오거리(인천웨딩홀),39406,7936,12386,7935,12386,1,655
간석오거리(인천웨딩홀),39423,33886,20427,33866,20427,20,1752
간석오거리역(7번출구),39447,16709,33533,16701,33533,8,1620
간석오거리역(8번출구),39449,61325,72614,61290,72614,35,4320
간석지구대,39535,685,634,673,634,12,42
간석지구대,39536,455,696,441,696,14,37
간석풍림아파트,92053,722,524,715,524,7,40
간석한신더휴아파트맞은편,37447,2587,532,2587,532,0,100
간재울초등학교,42347,5886,3655,5886,3655,0,307
간촌,43504,8,34,8,34,0,1
간촌,43518,56,13,56,13,0,2
갈산대동아파트,40550,310,737,310,737,0,33
갈산동아아파트,40567,1902,1663,1901,1663,1,115
갈산동입구,40622,39,3851,39,3851,0,125
갈산동천주교회,40652,846,5218,846,5218,0,195
갈산동천주교회맞은편,40650,6576,5334,6576,5334,0,384
갈산두산아파트,40544,4402,5689,4400,5689,2,325
갈산사거리,40631,2502,4835,2502,4835,0,236
갈산사거리,40634,3347,4783,3347,4783,0,262
갈산새마을금고,40635,8454,2139,8454,2139,0,341
갈산시장,40628,6572,6131,6572,6131,0,409
갈산시장.갈산도서관,40629,2287,5451,2287,5451,0,249
갈산역,40601,35560,11857,35556,11857,4,1529
갈산역,40602,9950,42888,9936,42888,14,1704
갈산역(1번출구),40604,22295,6646,22279,6646,16,933
갈산역(부평4공단)4번출구,40606,5836,16484,5826,16484,10,720
갈산주공1단지,40578,3001,2357,3001,2357,0,172
갈산주공1단지105동,40813,4076,2579,4076,2579,0,214
갈산주공2단지,40562,503,1321,503,1321,0,58
갈산주공2단지,40577,3934,7476,3929,7476,5,368
갈산태화아파트,40542,741,1074,741,1074,0,58
갈산태화아파트,40664,4437,820,4437,820,0,169
갈산태화아파트,40666,253,1630,253,1630,0,60
갈산태화아파트,40667,629,2663,629,2663,0,106
갈월초등학교,40531,132,1059,132,1059,0,38
갈현경로당,41491,29,318,29,318,0,11
갈현경로당앞,41607,214,41,214,41,0,8
갈현교,41608,18,2,18,2,0,0
갈현교,41609,2,17,2,17,0,0
갈현교입구,41492,235,29,235,29,0,8
갈현교입구,41617,21,202,21,202,0,7
갈현동마을,41351,734,660,734,660,0,44
갈현동마을,41352,233,1265,233,1265,0,48
갑곶돈대.강화전쟁박물관,43365,5,12,5,12,0,0
갑곶돈대.강화전쟁박물관,43728,0,21,0,21,0,0
갑곶돈대입구,43367,4,6,4,6,0,0
갑곶돈대입구,43726,13,8,13,8,0,0
갑륭초교,43374,3,0,3,0,0,0
갑륭초교,43724,7,178,7,178,0,5
갑문,35125,10,315,10,315,0,10
갑문,35504,151,26,151,26,0,5
강남시장,42172,18953,13486,18913,13486,40,1046
강남시장,42173,11895,11532,11872,11532,23,755
강남역도시에빛,31076,4839,6379,4839,6379,0,361
강남역서초현대타워앞,31016,44049,28141,44049,28141,0,2328
강남중교,43213,156,58,156,58,0,6
강남중교,43278,44,229,44,229,0,8
강서중학교,43660,8,139,7,139,1,4
강서중학교,43898,165,10,160,10,5,5
강인여객,40020,1060,1439,1060,1439,0,80
강인여객,40022,1212,874,1212,874,0,67
강화갯벌장어,43671,0,8,0,8,0,0
강화경찰서,43209,227,29,212,29,15,8
강화경찰서,43624,8,200,8,200,0,6
강화고등학교,43564,10,23,10,23,0,1
강화고등학교,43761,104,54,104,54,0,5
강화군 행복센터,43055,122,1795,119,1795,3,61
강화군 행복센터,43056,4,267,4,267,0,8
강화군노인문화센터,90373,7,31,7,31,0,1
강화군노인문화센터,90374,22,7,20,7,2,0
강화군청,43065,3749,881,3658,881,91,149
강화군청,43108,791,2807,777,2807,14,116
강화루지.강남상회,43150,118,76,114,76,4,6
강화루지.강남상회,43250,97,118,95,118,2,6
강화마니산,43001,37,71,37,71,0,3
강화마니산,43002,461,169,452,169,9,20
강화문화원.종합전시관,43097,0,44,0,44,0,1
강화문화원.종합전시관,43098,46,563,46,563,0,19
강화병원,43088,21,1570,21,1570,0,51
강화병원,43089,970,45,970,45,0,32
강화산단,90123,0,21,0,21,0,0
강화산단입구,90096,4,8,4,8,0,0
강화산단입구,90097,12,0,12,0,0,0
강화산성서문,43080,3,77,3,77,0,2
강화산성서문,43081,36,110,33,110,3,4
강화서문,43063,674,514,668,514,6,38
강화서문,43064,465,601,458,601,7,34
강화수양관앞,43467,70,29,70,29,0,3
강화수양관앞,43732,10,25,10,25,0,1
강화슈퍼,43066,551,1251,547,1251,4,58
강화슈퍼,43068,1671,476,1626,476,45,69
강화실버케어스앞,43975,19,141,19,141,0,5
강화실버케어스앞,43976,34,82,33,82,1,3
강화여자중학교,90334,0,18,0,18,0,0
강화역사박물관(고인돌),43601,268,33,266,33,2,9
강화역사박물관(고인돌),43670,15,458,14,458,1,15
강화장례식장,43918,1498,85,1480,85,18,51
강화장례식장,43946,38,1925,38,1925,0,63
강화중학교,43207,43,25,42,25,1,2
강화중학교,43623,11,59,10,59,1,2
강화터미널,43058,5,0,5,0,0,0
강화터미널,43096,49758,1346,48947,1346,811,1648
개항동 어울터,35197,8910,1811,8910,1811,0,345
개항동 어울터,35198,2047,8859,2047,8859,0,351
개화2치안센터,25023,29,1707,29,1707,0,56
개화2치안센터,25024,1895,29,1895,29,0,62
개화역1번출구.개화검문소,25030,138,6392,138,6392,0,210
개화역1번출구.개화검문소,25031,2271,243,2268,243,3,81
개화역광역환승센터,25182,1405,2339,1405,2339,0,120
갤러리84입구,35666,73,12,72,12,1,2
갤러리84입구,35667,11,76,11,76,0,2
갯벌슈퍼,43410,0,21,0,21,0,0
갯벌슈퍼,43513,7,3,7,3,0,0
거북시장,42132,12944,11277,12867,11277,77,781
거북시장,42136,11666,10672,11643,10672,23,720
거산정공.(주)록키,39137,1427,2026,1423,2026,4,111
거잠포선착장,35302,132,282,131,282,1,13
거잠포선착장,35303,237,134,235,134,2,11
거잠포회센터,35588,77,43,77,43,0,3
건설기술교육원,39353,6625,11800,6625,11800,0,594
건설기술교육원,39354,5453,4907,5453,4907,0,334
건영아파트,38069,16100,40894,16090,40894,10,1838
건일아파트,43015,451,266,445,266,6,23
건일아파트,43094,221,320,213,320,8,17
건지사거리,42882,80,0,80,0,0,2
건지사거리,42883,2,280,2,280,0,9
건평,43168,36,48,36,48,0,2
건평,43186,2,44,2,44,0,1
건평리,43187,42,6,42,6,0,1
건평리,43651,8,51,6,51,2,1
건평마을회관,43594,4,33,4,33,0,1
건평입구,43170,3,17,3,17,0,0
건평입구,43331,5,19,5,19,0,0
걸포북변역,35560,26,4622,26,4622,0,149
걸포북변역,35610,1763,78,1763,78,0,59
걸포사거리.우리병원,35561,191,225,191,225,0,13
검단1차피오레·금호어울림아파트,89457,377,205,377,205,0,18
검단1차피오레·금호어울림아파트,89458,49,633,49,633,0,22
검단LH행복주택,89408,12317,3740,12317,3740,0,517
검단공구상가,89053,50,707,50,707,0,24
검단공구상가,89065,490,223,490,223,0,23
검단노인복지관,42695,174,492,166,492,8,21
검단농기구센터,89316,108,3,104,3,4,3
검단농기구센터,89324,4,168,4,168,0,5
검단농협,42432,26596,9205,26580,9205,16,1154
검단농협,42434,5717,14526,5690,14526,27,653
검단대성베르힐,89467,2346,719,2346,719,0,98
검단동행정복지센터(검단고교),42441,3899,8482,3888,8482,11,399
검단동행정복지센터(검단고교),42445,4442,4499,4438,4499,4,288
검단디에트르리버파크,89476,1060,4387,1060,4387,0,175
검단디에트르리버파크,89477,3361,909,3361,909,0,137
검단로제비앙라포레,89483,2717,13,2717,13,0,88
검단로지스틱스파크,41339,1403,331,1399,331,4,55
검단로지스틱스파크,42395,271,2573,271,2573,0,91
검단메가박스,42383,1921,1733,1916,1733,5,117
검단메가박스,42384,497,1018,497,1018,0,48
검단모아미래도엘리트,89466,1465,4684,1465,4684,0,198
검단모아엘가그랑데아파트,42483,7599,1405,7599,1405,0,290
검단사거리역,42419,15973,14975,15945,14975,28,998
검단사거리역,42426,1958,8389,1947,8389,11,333
검단사거리역,42427,7524,2881,7496,2881,28,335
검단사거리역,42537,11541,13757,11514,13757,27,816
검단소방서,42428,1282,4733,1280,4733,2,194
검단소방서,42431,294,2272,294,2272,0,82
검단신도시우미린리버포레,89409,5565,11615,5565,11615,0,554
검단신안인스빌어반퍼스트,89511,2270,32,2270,32,0,74
검단신안인스빌어반퍼스트,89512,154,1449,154,1449,0,51
검단예미지트리플에듀아파트,89484,12,1113,12,1113,0,36
검단오류공단,42702,18,590,18,590,0,19
검단오류공단,42703,211,9,211,9,0,7
검단오류역,89057,6050,697,6043,697,7,217
검단오류역,89060,581,6111,579,6111,2,215
검단오류역우방아이유쉘,89067,663,1019,662,1019,1,54
검단오류역우방아이유쉘,89068,1230,399,1211,399,19,52
검단오류풍림아이원,89251,108,347,108,347,0,14
검단오류풍림아이원,89252,389,203,389,203,0,19
검단우미린파크뷰1단지,89499,1115,67,1115,67,0,38
검단우미린파크뷰1단지,89500,77,208,77,208,0,9
검단우미린파크뷰2단지,89469,5130,1641,5130,1641,0,218
검단우미린파크뷰2단지,89501,1898,3307,1898,3307,0,167
검단우방아이유쉘아파트,42688,238,377,236,377,2,19
검단원흥아파트,42400,1750,1045,1747,1045,3,90
검단원흥아파트,42401,1160,2554,1159,2554,1,119
검단지식산업센타,89054,7092,177,7077,177,15,234
검단지식산업센타,89063,216,4938,216,4938,0,166
검단초등학교,42475,8400,3700,8385,3700,15,390
검단초등학교,42482,3610,6114,3608,6114,2,313
검단초등학교,89332,110,133,110,133,0,7
검단초등학교,89333,116,203,114,203,2,10
검단출장소,42423,14650,11279,14650,11279,0,836
검단출장소,42424,4121,9673,4121,9673,0,444
검단탑종합병원,42877,474,571,474,571,0,33
검단하나아파트,42421,1857,501,1855,501,2,76
검단하나아파트,42422,325,386,324,386,1,22
검단힐스테이트5차아파트,42557,0,107,0,107,0,3
검단힐스테이트5차아파트,42558,154,592,154,592,0,24
검문소,43662,2,7,1,7,1,0
검문소,43812,2,81,2,81,0,2
검문소,90042,0,1,0,1,0,0
검문소,90043,6,113,6,113,0,3
검바위역,42348,4535,889,4529,889,6,174
검바위역,42349,1007,5075,1007,5075,0,196
검암경서동행정복지센터,42352,1664,5788,1664,5788,0,240
검암경서동행정복지센터,42353,6324,1639,6324,1639,0,256
검암사거리,42356,2479,3916,2477,3916,2,206
검암사거리,42357,5107,2280,5101,2280,6,238
검암사거리,42358,6269,1988,6269,1988,0,266
검암역(시내방면),42364,9569,394,9557,394,12,321
검암역(원당방면),42363,3909,26814,3895,26814,14,991
검암역.서해그랑블아파트,42360,5561,5693,5561,5693,0,363
검암역로열파크씨티푸르지오1단지,89167,11166,58,11105,58,61,362
검암역로열파크씨티푸르지오1단지,89168,47,9380,42,9380,5,304
검암역로열파크씨티푸르지오2단지,89169,572,51,572,51,0,20
검암역로열파크씨티푸르지오2단지,89170,24,5583,24,5583,0,180
검암역입구,42851,22019,8755,22015,8755,4,992
검암역입구,42852,10920,14226,10918,14226,2,811
검암역입구(시천교밑),89250,12105,3014,12105,3014,0,487
검암중학교,42359,3504,1719,3502,1719,2,168
검암중학교,42362,2118,2698,2117,2698,1,155
검암초등학교,42361,360,5517,360,5517,0,189
겐트대학교글로벌캠퍼스,38769,39,0,39,0,0,1
겐트대학교글로벌캠퍼스,38770,94,651,94,651,0,24
경기국제통상고.포도마을뉴서울.중앙공원,55042,597,1722,597,1722,0,74
경기국제통상고.포도마을뉴서울.중앙공원,55043,1237,948,1236,948,1,70
경기도교육청학생교육원,43162,0,90,0,90,0,2
경기도교육청학생교육원,43222,147,19,145,19,2,5
경기주유소,43051,97,365,96,365,1,14
경남1차,40343,8244,340,8180,340,64,276
경남1차아파트,40376,13464,7290,13453,7290,11,669
경남2차,40305,8652,65,8612,65,40,281
경남아너스빌,42099,2817,1396,2816,1396,1,135
경남아너스빌,42102,1320,2443,1319,2443,1,121
경남아너스빌아파트,42110,5349,3032,5348,3032,1,270
경남아너스빌아파트,42111,1778,2974,1775,2974,3,153
경남아파트,35143,7399,2596,7393,2596,6,322
경남아파트,35147,1611,3143,1600,3143,11,153
경남아파트,38281,8105,7293,8103,7293,2,496
경남아파트,41011,14846,3876,14819,3876,27,603
경남아파트,41014,4029,8193,4022,8193,7,394
경남아파트,42332,6684,3528,6684,3528,0,329
경남아파트,42334,3169,6580,3169,6580,0,314
경남아파트308동앞,40334,38,5815,34,5815,4,188
경남아파트311동앞,40300,15,5328,15,5328,0,172
경남아파트313동앞,40287,53,9358,29,9358,24,303
경동택배,89315,72,2,72,2,0,2
경동택배,89325,1,39,1,39,0,1
경명초등학교,89216,1518,498,1518,498,0,65
경명초등학교,89277,5015,7771,5015,7771,0,412
경명초등학교,89278,4141,6160,4141,6160,0,332
경방신약,39136,4459,1274,4459,1274,0,184
경방신약,39138,2587,8365,2587,8365,0,353
경복예식장,39399,10716,5134,10677,5134,39,511
경서농원,42333,222,579,222,579,0,25
경서농원,42335,79,1116,79,1116,0,38
경서지구입구,42303,1075,5856,1075,5856,0,223
경서지구입구,42671,2470,2664,2470,2664,0,165
경서지구입구,42672,4108,2988,4108,2988,0,228
경서초등학교,42569,4722,2756,4721,2756,1,241
경서초등학교,42570,2861,2898,2861,2898,0,185
경신마을,39646,193,150,193,150,0,11
경신마을,39982,105,925,105,925,0,33
경신아파트,41216,1730,902,1730,902,0,84
경신아파트,41223,1709,3419,1709,3419,0,165
경연초중학교,89271,7101,4446,7101,4446,0,372
경연초중학교,89272,3096,5896,3096,5896,0,290
경연초중학교·청라센텀로제비앙,89286,3012,1264,3012,1264,0,137
경연초중학교·호반베르디움6차,89285,2339,2203,2336,2203,3,146
경인계량소,42549,794,2,794,2,0,25
경인계량소,42550,0,615,0,615,0,19
경인교대.부평향교,41138,954,1088,954,1088,0,65
경인교대.부평향교,41139,992,831,992,831,0,58
경인교대역입구,41428,8449,6623,8449,6623,0,486
경인교대역입구,41429,7441,8747,7441,8747,0,522
경인교회앞,40077,842,3262,842,3262,0,132
경인방송,37003,151,107,151,107,0,8
경인방송,37004,42,339,42,339,0,12
경인산업,39688,664,1601,664,1601,0,73
경인아라뱃길여객터미널,42869,187,9,187,9,0,6
경인여대,41277,9111,14080,9111,14080,0,748
경인여대,41278,5574,6664,5574,6664,0,394
경인특장,42547,275,3,275,3,0,8
경인항다목적부두,89151,98,2,98,2,0,3
경인항다목적부두,89152,0,122,0,122,0,3
경전말,43934,37,0,35,0,2,1
경제자유구역청,38514,2056,2333,2056,2333,0,141
경제자유구역청,38515,2398,3778,2398,3778,0,199
경진브로아,39042,1014,1077,1014,1077,0,67
경흥빌라,43372,481,4,466,4,15,15
경흥빌라,43616,10,260,10,260,0,8
경희유치원앞,39991,147,515,147,515,0,21
경희유치원앞,39992,120,75,120,75,0,6
계량소,40195,2087,263,2079,263,8,75
계룡리슈빌,55225,4664,1115,4664,1115,0,186
계산공고,41167,3276,4236,3262,4236,14,242
계산공고,41170,5107,7877,5105,7877,2,418
계산공고앞,41169,2664,1872,2661,1872,3,146
계산국민체육센터,41276,1630,2730,1619,2730,11,140
계산국민체육센터,41613,1765,1998,1757,1998,8,121
계산동수협,41533,3777,4451,3777,4451,0,265
계산동아아파트,41231,258,3,258,3,0,8
계산동우체국,41427,7937,4025,7937,4025,0,385
계산삼거리,41196,359,260,359,260,0,19
계산삼거리(신도브래뉴),41199,10249,10028,10249,10028,0,654
계산삼거리(신도브래뉴),41201,4552,8237,4552,8237,0,412
계산시장,41176,3736,4455,3736,4455,0,264
계산여고,41576,650,748,645,748,5,45
계산여자고등학교,41221,27,335,27,335,0,11
계산여자고등학교,41224,889,1292,889,1292,0,70
계산역,41247,6293,4608,6284,4608,9,351
계산역,41371,5440,1536,5440,1536,0,225
